Id,Fecha,Ruta,Operador,Trayecto,Modelo del Avion,Registro,Total a Bordo,Pasajeros a bordo,Tripulantes a bordo,Total Fallecidos,Fatalidad Pasajeros,Fatalidad Tripulantes,Fatalidad en Tierra,Año,Tipo de Operador,Origen
669,1943-01-22,"Chaparra,Peru",Pan American Grace Airlines,S Santiago de Chile - Arequipa - Lima,Douglas DC-3A,NC33645,15,11,4,14,10,4,0,1943,Comercial,United States
671,1943-02-18,"Seattle,Washington",Private - Boeing Aircraft Company,Test flight,Boeing XB-29,41-3,10,0,10,10,0,10,20,1943,Comercial,No encontrado
672,1943-02-22,"Lisbon,Portugal",Pan American World Airways,New York - Hamilton - Horta - Lisbon - Marseille,Boeing B-314 (flying boat),NC18603,39,33,6,25,20,5,0,1943,Comercial,United States
673,1943-03-11,"Luishui,China",China National Aviation Corporation,Kunming - Assam,Douglas C-53,53,3,0,3,3,0,3,0,1943,Comercial,No encontrado
674,1943-03-13,"Himalaya,China",China National Aviation Corporation,Kunming - Dinjan,Douglas C-53,49,3,0,3,3,0,3,0,1943,Comercial,No encontrado
675,1943-03-27,"Archerfield Aerodrome,Queensland,Australia",Military - Royal Australian Air Force,Brisbane - Sydney,Douglas C-47-DL,A65-2,24,20,4,24,20,4,0,1943,Militar,No encontrado
676,1943-04-04,North Sea,British Overseas Airways,"Stockholm, Sweden - RAF Leuchars, Scotland",Lockheed C-56B Lodestar,G-AGEJ,7,4,3,7,4,3,0,1943,Comercial,United Kingdom
677,1943-04-22,"Port Moresby,New Guinea",Qantas,Townsville - Port Moresby,Short S-23,VH-ADU,31,27,4,13,11,2,0,1943,Comercial,Australia
678,1943-06-01,France,British Overseas Airways,Lisbon - Bristol,Douglas DC-3,G-AGBB,17,13,4,17,13,4,0,1943,Comercial,United Kingdom
679,1943-06-07,"Red Springs,North Carolina",Military - U.S. Army Air Forces,Pope Field - Maxton,Douglas C-47A-DL,42-23512,20,16,4,20,16,4,0,1943,Militar,No encontrado
680,1943-06-08,"Noumea, New Caledonia",Military - US Navy,Noumea - Sydney,Douglas C-47 Skytrain (DC-3),12406,23,3,20,23,3,20,0,1943,Militar,No encontrado
681,1943-06-14,"Mackay,OLD,Australia",Military - U.S. Army Air Forces,Mackay - Port Moresby,B-17C Flying Fortress,12406,41,35,6,40,34,6,0,1943,Militar,No encontrado
685,1943-07-28,"Brandon Head,Ireland",British Overseas Airways,Lagos - Lisbon - Foynes,Short S-25 Sunderland 3 (flying boat),G-AGES,25,18,7,10,9,1,0,1943,Comercial,United Kingdom
686,1943-07-28,"Trammel,Kentucky",American Airlines,Cleveland - Memphis,Douglas DC-3,NC16014,22,18,4,20,16,4,0,1943,Comercial,United States
687,1943-08-01,"Ploesti,Romania",Military - U.S. Army Air Forces,Bombing run,Consolidated B-24,Sin Dato,10,0,10,10,0,10,63,1943,Militar,No encontrado
688,1943-08-07,"Townsville,Australia",Military - U.S. Air Force,Townsville - Brisbane,Douglas C-47-DL,41-7733,27,23,4,27,23,4,0,1943,Militar,No encontrado
689,1943-08-11,"Fort Hertz,China",China National Aviation Corporation,Desconocido,Douglas C-53,48,3,0,3,3,0,3,0,1943,Comercial,No encontrado
690,1943-08-14,"Rhodes,Greece",LATI,Desconocido,Savoia-Marchetti SM.75,I-BETA,17,13,4,17,13,4,0,1943,Comercial,Italy
691,1943-08-27,"Rio de Janeiro,Brazil",VASP,Sao Paulo - Rio de Janeiro,Junkers JU-52/3m,PP-SPD,21,18,3,18,18,3,0,1943,Comercial,Brazil
